tdoy,Year_1,Year_2,Year_3,Year_4
92,168.1169324128466,-88.33333333333333,85.19793566404566,-35.70685797157643
93,165.5585647371515,-86.11111111111111,83.64165049039822,-35.80437032045675
94,168.5872079684218,-83.33333333333334,84.4264438685623,-30.443861270318727
95,160.84447087081944,-85.0,93.02259167599532,-26.865684725278115
96,160.49966254893548,-86.11111111111111,93.77074125613483,-22.16889799832823
97,152.54857627584798,-87.22222222222223,86.31802043859118,-19.66516486579434
98,135.5264913749843,-84.44444444444444,80.8837448424656,-16.527085368364425
99,133.6233964383945,-81.11111111111111,68.07781600406098,-12.242545668069127
100,153.73383532594866,-80.0,61.14677204513062,-13.502279450176225
101,163.33984861246793,-79.44444444444444,55.71485838068799,-10.317144323447092
102,162.12202238948902,-77.77777777777777,52.900734434049056,-5.2097684079510875
103,150.0855595773502,-77.22222222222221,51.945104843836255,-4.499715296566609
104,140.83749143357335,-75.55555555555556,50.98342696507778,-11.34501542391061
105,146.04093361523755,-74.44444444444444,49.04774200398705,-8.757573566373168
106,157.24227085614183,-72.77777777777777,47.086587503934595,-9.516158398874664
107,161.4495042579946,-70.55555555555554,48.080415797880114,-14.865817104063995
108,166.51091883405783,-69.44444444444444,54.99083520178119,-17.208025485172296
109,166.45707824439438,-68.88888888888889,64.44149588481662,-16.67915689071058
110,156.86198642547228,-70.0,72.4848299226609,-12.723717545993896
111,152.05600502674815,-71.66666666666666,83.58533877906977,-10.497281769105982
112,142.2538270534857,-76.11111111111111,94.0529238848939,-12.218647038826358
113,140.79446664954904,-80.0,102.45679066731057,-5.818362868774429
114,135.5127206781775,-84.44444444444444,109.05864253689677,-2.716855964754694
115,138.3795248816559,-87.77777777777777,112.61406162766035,-2.1270290284780113
116,121.14289294592541,-91.66666666666666,115.41161507012956,-1.350259417592914
117,113.29584014769294,-95.0,116.10203691330305,0.0022454509924774158
118,115.65403653770284,-98.88888888888889,118.1667060557868,-5.580766016120931
119,109.28298640587548,-99.44444444444444,117.48493509936249,-12.109755600112571
120,105.01635409373189,-100.0,118.85276487986162,-12.007229797371387
121,105.66367321283975,,122.93076670992119,-19.109210376080053
122,108.36008847399472,,124.26568148063927,-12.66302091842556
123,117.18634279476095,,126.91971321413797,-8.85330968861524
124,124.62307954656633,,125.60803857128167,-8.740782910453026
125,135.4654741798518,,125.60803857128167,-6.267791352460749
126,158.2181117765215,,126.92738382608452,-6.839329210067701
127,166.42124459819323,,128.23910280773822,-4.7960100582527865
128,175.62197827050326,,133.45599658620083,-2.2556342323660994
129,183.81810551907347,,141.74814947041017,-2.0132669840220885
130,187.44009135313627,,144.21496732214902,-1.5758262116293387
131,196.48853014079145,,148.48872925028664,5.044371191993213
132,191.64372590623424,,153.29044382517142,16.019595408971774
133,192.3871314820736,,155.0575864565098,22.68432400553497
134,191.4059666113284,,157.39756431390896,28.869611386017535
135,185.91119665636936,,157.39756431390896,36.315944942339165
136,178.1581670633003,,156.23811582600848,43.33053627583035
137,187.40850983442715,,155.07339711770845,55.855009511254636
138,191.58899725020063,,155.65842784504264,58.504504868320886
139,188.63370335915133,,158.57690304875317,61.5622650863189
140,185.7462090131967,,158.57690304875317,62.786221640003134
141,181.8847737562616,,157.4225418744284,58.84638537145521
142,193.2562617884744,,155.10341987555964,60.61373204911891
143,197.9624634686699,,153.348121114948,64.88691485525975
144,204.94745017494185,,154.526484468971,62.796136545370615
145,217.9171613048974,,151.59415169859116,63.422642016711436
146,234.20113480061002,,147.44047466583137,65.43534135778344
147,235.5668605918625,,138.99128772602248,67.19933444828985
148,229.78553639674203,,130.2324447203567,62.45291396261907
149,228.0515945668022,,119.8264585183067,57.01758866017541
150,228.0515945668022,,107.53802294896033,54.31098713188951
151,221.9560412893785,,101.73276356577263,47.104155315290264
152,216.73552836927058,,103.97423871650342,43.803741574242096
