Date,LT_pct_above_SMA200,MT_pct_RSI_ge_50,ST_pct_RSI_ge_60,RegimeScore,RegimeScore_EMA10
2025-01-23,61.63265306122449,76.53061224489795,53.673469387755105,64.51020408163265,53.60261558852377
2025-01-24,62.04081632653061,77.55102040816327,55.91836734693878,65.46938775510205,55.76021052790164
2025-01-27,65.51020408163265,78.16326530612245,53.87755102040816,66.9795918367347,57.800098038598556
2025-01-28,63.06122448979592,75.3061224489796,49.59183673469388,64.04081632653062,58.93477409094984
2025-01-29,60.61224489795919,75.91836734693878,49.183673469387756,62.91836734693878,59.65906377385693
2025-01-30,63.06122448979592,77.9591836734694,53.06122448979592,65.53061224489797,60.72661804131893
2025-01-31,61.42857142857143,81.0204081632653,61.42857142857143,67.3061224489796,61.9228915699845
2025-02-03,60.816326530612244,76.93877551020408,50.40816326530613,63.57142857142858,62.222625570247054
2025-02-04,59.183673469387756,71.22448979591837,44.08163265306123,59.775510204081634,61.777695503671524
2025-02-05,60.61224489795919,68.77551020408164,43.46938775510204,59.63265306122449,61.387687786862976
2025-02-06,59.591836734693885,60.204081632653065,36.734693877551024,55.204081632653065,60.26339575882481
2025-02-07,58.77551020408164,53.673469387755105,30.408163265306122,51.57142857142858,58.683038088389125
2025-02-10,60.204081632653065,46.12244897959184,26.3265306122449,49.20408163265306,56.959591460073476
2025-02-11,60.0,51.22448979591837,30.816326530612244,51.53061224489796,55.972504330041566
2025-02-12,58.36734693877551,42.857142857142854,28.57142857142857,47.755102040816325,54.47843118654606
2025-02-13,60.61224489795919,46.93877551020408,31.428571428571427,50.6734693877551,53.786619950402255
2025-02-14,60.204081632653065,40.816326530612244,28.97959183673469,48.14285714285714,52.760481258121324
2025-02-18,59.795918367346935,51.22448979591837,35.10204081632653,52.285714285714285,52.67415999041095
2025-02-19,61.836734693877546,53.673469387755105,39.795918367346935,54.97959183673469,53.09332941701527
2025-02-20,62.04081632653061,49.795918367346935,32.244897959183675,52.408163265306115,52.96875375306815
2025-02-21,59.183673469387756,47.55102040816326,28.57142857142857,49.57142857142857,52.351058265497315
2025-02-24,58.77551020408164,50.204081632653065,31.428571428571427,50.734693877551024,52.05717383132526
2025-02-25,58.97959183673469,47.55102040816326,33.46938775510204,50.44897959183673,51.76477487869098
2025-02-26,58.36734693877551,43.87755102040816,26.53061224489796,47.6530612244898,51.01719057792713
2025-02-27,55.714285714285715,43.06122448979592,25.102040816326532,45.79591836734694,50.06786835782164
2025-02-28,58.36734693877551,53.06122448979592,34.08163265306122,51.91836734693877,50.404322719479296
2025-03-03,56.12244897959183,45.30612244897959,30.0,47.65306122448979,49.90409335675394
2025-03-04,48.775510204081634,37.3469387755102,22.244897959183675,40.04081632653061,48.1107702603497
2025-03-05,51.02040816326531,44.69387755102041,24.489795918367346,43.81632653061225,47.329962309488344
2025-03-06,48.16326530612245,35.714285714285715,18.367346938775512,38.46938775510204,45.71894875414538
2025-03-07,50.816326530612244,43.87755102040816,26.73469387755102,43.91836734693877,45.39157031647145
2025-03-10,44.89795918367347,37.95918367346939,24.693877551020407,38.775510204081634,44.18865029603694
2025-03-11,39.183673469387756,30.408163265306122,15.510204081632653,31.816326530612244,41.93913688414153
2025-03-12,37.95918367346939,22.857142857142858,7.959183673469387,27.42857142857143,39.300852255856064
2025-03-13,33.87755102040816,21.63265306122449,8.16326530612245,25.06122448979592,36.711829025663306
2025-03-14,40.20408163265306,25.918367346938776,8.775510204081632,29.632653061224488,35.424706123038064
2025-03-17,43.26530612244898,30.408163265306122,9.795918367346939,32.714285714285715,34.93190241235582
2025-03-18,41.83673469387755,31.428571428571427,12.653061224489795,32.87755102040816,34.558383977456245
2025-03-19,44.08163265306123,36.53061224489796,13.061224489795919,35.61224489795919,34.74999505391133
2025-03-20,43.06122448979592,26.53061224489796,8.775510204081632,31.24489795918367,34.11270467305176
2025-03-21,41.63265306122449,30.20408163265306,8.36734693877551,31.551020408163264,33.64694389761748
2025-03-24,46.12244897959184,51.42857142857142,18.775510204081634,42.244897959183675,35.2102082724477
2025-03-25,46.326530612244895,40.816326530612244,15.510204081632653,38.51020408163265,35.81020751048133
2025-03-26,46.326530612244895,52.04081632653062,20.408163265306122,42.85714285714286,37.091468482601606
2025-03-27,44.48979591836735,40.0,18.16326530612245,37.87755102040816,37.234392580384615
2025-03-28,39.795918367346935,44.285714285714285,19.591836734693878,37.10204081632653,37.21032862328315
2025-03-31,42.857142857142854,58.97959183673469,34.08163265306122,45.93877551020408,38.79731896635968
2025-04-01,42.6530612244898,65.51020408163265,39.183673469387756,48.816326530612244,40.618956705314694
2025-04-02,45.91836734693878,82.44897959183673,55.10204081632652,58.71428571428571,43.909016525127605
2025-04-03,35.91836734693877,36.53061224489796,21.63265306122449,33.244897959183675,41.970085876774164
2025-04-04,21.224489795918366,7.755102040816326,2.0408163265306123,13.346938775510203,36.76587731290799
2025-04-07,18.571428571428573,5.714285714285714,1.0204081632653061,11.204081632653061,32.11827809831618
2025-04-08,17.755102040816325,4.285714285714286,1.0204081632653061,10.367346938775508,28.163563342036056
2025-04-09,29.795918367346943,14.489795918367346,2.4489795918367347,19.73469387755102,26.631041621220593
