Date,SPY,Composite,Threshold
2022-07-28,384.92156982421875,5.0,5
2022-07-29,390.53326416015625,5.0,5
2022-08-01,389.37677001953125,5.0,5
2022-08-02,386.8079833984375,5.0,5
2022-08-03,392.8651428222656,5.0,5
2022-08-04,392.5997314453125,5.0,5
2022-08-05,391.9362487792969,5.0,5
2022-08-08,391.481201171875,5.0,5
2022-08-09,389.9266052246094,5.0,5
2022-08-10,398.1165771484375,6.0,5
2022-08-11,398.1165771484375,5.0,5
2022-08-12,404.85638427734375,6.0,5
2022-08-15,406.5246276855469,6.0,5
2022-08-16,407.32086181640625,7.0,5
2022-08-17,404.4297790527344,6.0,5
2022-08-18,405.6051330566406,7.0,5
2022-08-19,400.1546630859375,6.0,5
2022-08-22,391.82244873046875,5.0,5
2022-08-23,390.8745422363281,6.0,5
2022-08-24,392.125732421875,6.0,5
2022-08-25,397.66162109375,6.0,5
2022-08-26,384.201171875,5.0,5
2022-08-29,381.6607666015625,4.0,5
2022-08-30,377.4709167480469,3.0,5
2022-08-31,374.5987548828125,3.0,5
2022-09-01,375.774169921875,3.0,5
2022-09-02,371.8118591308594,2.0,5
2022-09-06,370.4089050292969,2.0,5
2022-09-07,377.06329345703125,1.0,5
2022-09-08,379.5279235839844,4.0,5
2022-09-09,385.4240417480469,5.0,5
2022-09-12,389.56640625,5.0,5
2022-09-13,372.6270446777344,3.0,5
2022-09-14,374.0489501953125,3.0,5
2022-09-15,369.80224609375,4.0,5
2022-09-16,366.9811096191406,3.0,5
2022-09-19,369.8270263671875,3.0,5
2022-09-20,365.58197021484375,3.0,5
2022-09-21,359.20477294921875,3.0,5
2022-09-22,356.1875,2.0,5
2022-09-23,350.2196350097656,2.0,5
2022-09-26,346.75506591796875,1.0,5
2022-09-27,345.8699035644531,1.0,5
2022-09-28,352.6753845214844,2.0,5
2022-09-29,345.30828857421875,2.0,5
2022-09-30,339.9686584472656,3.0,5
2022-10-03,348.9442138671875,2.0,5
2022-10-04,359.7569580078125,2.0,5
2022-10-05,358.9192810058594,4.0,5
2022-10-06,355.2166748046875,3.0,5
2022-10-07,345.30828857421875,3.0,5
2022-10-10,342.6717834472656,3.0,5
2022-10-11,340.5016784667969,3.0,5
2022-10-12,339.3784484863281,2.0,5
2022-10-13,348.3350524902344,3.0,5
2022-10-14,340.3969421386719,3.0,5
2022-10-17,349.1441955566406,3.0,5
2022-10-18,353.2464599609375,2.0,5
2022-10-19,350.7431335449219,2.0,5
2022-10-20,347.8020935058594,2.0,5
2022-10-21,356.2541809082031,3.0,5
2022-10-24,360.61346435546875,3.0,5
2022-10-25,366.3719482421875,5.0,5
2022-10-26,363.6116943359375,5.0,5
2022-10-27,361.6699523925781,4.0,5
2022-10-28,370.27435302734375,5.0,5
2022-10-31,367.5997314453125,5.0,5
2022-11-01,365.9911804199219,5.0,5
2022-11-02,356.8061828613281,3.0,5
2022-11-03,353.1322021484375,3.0,5
2022-11-04,358.21484375,4.0,5
2022-11-07,361.6413879394531,5.0,5
2022-11-08,363.5926208496094,5.0,5
2022-11-09,356.10186767578125,4.0,5
2022-11-10,375.67120361328125,7.0,5
2022-11-11,379.3070983886719,7.0,5
2022-11-14,376.0804443359375,6.0,5
2022-11-15,379.2880554199219,5.0,5
2022-11-16,376.39453125,6.0,5
2022-11-17,375.2427978515625,5.0,5
2022-11-18,376.946533203125,5.0,5
2022-11-21,375.5759582519531,4.0,5
2022-11-22,380.63006591796875,5.0,5
2022-11-23,383.0286865234375,5.0,5
2022-11-25,382.94293212890625,4.0,5
2022-11-28,376.8323669433594,3.0,5
2022-11-29,376.18511962890625,4.0,5
2022-11-30,388.03521728515625,6.0,5
2022-12-01,387.7497253417969,6.0,5
2022-12-02,387.30230712890625,6.0,5
2022-12-05,380.33502197265625,4.0,5
2022-12-06,374.8525695800781,3.0,5
2022-12-07,374.21484375,3.0,5
2022-12-08,377.14642333984375,3.0,5
2022-12-09,374.3290710449219,3.0,5
2022-12-12,379.7258605957031,4.0,5
2022-12-13,382.6003112792969,6.0,5
2022-12-14,380.1542053222656,4.0,5
2022-12-15,370.85491943359375,3.0,5
2022-12-16,366.4765625,2.0,5
2022-12-19,363.3690490722656,2.0,5
2022-12-20,363.8662414550781,1.0,5
2022-12-21,369.3069152832031,3.0,5
2022-12-22,364.038330078125,1.0,5
2022-12-23,366.13238525390625,1.0,5
2022-12-27,364.6885681152344,2.0,5
2022-12-28,360.15625,1.0,5
2022-12-29,366.6391296386719,2.0,5
2022-12-30,365.6734313964844,1.0,5
2023-01-03,364.1339416503906,1.0,5
2023-01-04,366.9451904296875,1.0,5
2023-01-05,362.7570495605469,0.0,5
2023-01-06,371.0758361816406,1.0,5
2023-01-09,370.86541748046875,3.0,5
2023-01-10,373.46630859375,5.0,5
2023-01-11,378.1898193359375,6.0,5
2023-01-12,379.5667419433594,7.0,5
2023-01-13,381.03924560546875,8.0,5
2023-01-17,380.34124755859375,8.0,5
2023-01-18,374.33642578125,6.0,5
2023-01-19,371.61126708984375,4.0,5
2023-01-20,378.53411865234375,8.0,5
2023-01-23,383.075927734375,8.0,5
2023-01-24,382.6647644042969,8.0,5
2023-01-25,382.8082275390625,8.0,5
2023-01-26,387.0154724121094,8.0,5
2023-01-27,387.90472412109375,8.0,5
2023-01-30,383.0377197265625,7.0,5
2023-01-31,388.66961669921875,7.0,5
2023-02-01,392.80035400390625,8.0,5
2023-02-02,398.5184020996094,9.0,5
2023-02-03,394.2824401855469,9.0,5
2023-02-06,391.87286376953125,8.0,5
2023-02-07,396.998046875,9.0,5
2023-02-08,392.656982421875,9.0,5
2023-02-09,389.2529296875,7.0,5
2023-02-10,390.1613464355469,7.0,5
2023-02-13,394.7413330078125,7.0,5
2023-02-14,394.5597229003906,8.0,5
2023-02-15,395.841064453125,8.0,5
2023-02-16,390.3907775878906,7.0,5
2023-02-17,389.4154357910156,7.0,5
2023-02-21,381.6034240722656,6.0,5
2023-02-22,381.0775146484375,6.0,5
2023-02-23,383.1046447753906,7.0,5
2023-02-24,379.01214599609375,5.0,5
2023-02-27,380.3030090332031,6.0,5
2023-02-28,378.8974304199219,5.0,5
2023-03-01,377.4440612792969,5.0,5
2023-03-02,380.3795166015625,8.0,5
2023-03-03,386.4799499511719,8.0,5
2023-03-06,386.7476806640625,7.0,5
2023-03-07,380.81939697265625,7.0,5
2023-03-08,381.44085693359375,8.0,5
2023-03-09,374.4033508300781,4.0,5
2023-03-10,369.0009765625,1.0,5
2023-03-13,368.47503662109375,0.0,5
2023-03-14,374.5660095214844,1.0,5
2023-03-15,372.2233581542969,0.0,5
2023-03-16,378.75396728515625,2.0,5
2023-03-17,374.3253479003906,2.0,5
2023-03-20,377.9247131347656,2.0,5
2023-03-21,382.8869934082031,3.0,5
2023-03-22,376.3601989746094,2.0,5
2023-03-23,377.37762451171875,2.0,5
2023-03-24,379.85400390625,3.0,5
2023-03-27,380.564208984375,3.0,5
2023-03-28,379.7100524902344,4.0,5
2023-03-29,385.22906494140625,5.0,5
2023-03-30,387.48468017578125,5.0,5
2023-03-31,392.9461364746094,5.0,5
2023-04-03,394.4434509277344,5.0,5
2023-04-04,392.2550354003906,5.0,5
2023-04-05,391.2279968261719,5.0,5
2023-04-06,392.7540588378906,5.0,5
2023-04-10,393.1572265625,5.0,5
2023-04-11,393.26287841796875,5.0,5
2023-04-12,391.65997314453125,5.0,5
2023-04-13,396.8622741699219,5.0,5
2023-04-14,395.8927917480469,5.0,5
2023-04-17,397.3133239746094,6.0,5
2023-04-18,397.5725402832031,6.0,5
2023-04-19,397.5053405761719,6.0,5
2023-04-20,395.3360900878906,5.0,5
2023-04-21,395.64324951171875,5.0,5
2023-04-24,396.0559387207031,5.0,5
2023-04-25,389.7690734863281,5.0,5
2023-04-26,388.1181335449219,5.0,5
2023-04-27,395.8448486328125,5.0,5
2023-04-28,399.22344970703125,5.0,5
2023-05-01,398.8203125,6.0,5
2023-05-02,394.337890625,4.0,5
2023-05-03,391.6311950683594,4.0,5
2023-05-04,388.8572692871094,3.0,5
2023-05-05,396.0559387207031,6.0,5
2023-05-08,396.1615295410156,6.0,5
2023-05-09,394.4242248535156,6.0,5
2023-05-10,396.26708984375,6.0,5
2023-05-11,395.5760498046875,4.0,5
2023-05-12,395.0577697753906,5.0,5
2023-05-15,396.4206848144531,5.0,5
2023-05-16,393.7715759277344,5.0,5
2023-05-17,398.5515441894531,6.0,5
2023-05-18,402.390869140625,7.0,5
2023-05-19,401.8053283691406,7.0,5
2023-05-22,401.9685363769531,7.0,5
2023-05-23,397.4572448730469,7.0,5
2023-05-24,394.57781982421875,6.0,5
2023-05-25,397.99481201171875,6.0,5
2023-05-26,403.1491394042969,7.0,5
2023-05-30,403.30267333984375,7.0,5
2023-05-31,401.0662536621094,7.0,5
2023-06-01,404.8768615722656,7.0,5
2023-06-02,410.7318115234375,7.0,5
2023-06-05,409.94476318359375,7.0,5
2023-06-06,410.8373718261719,8.0,5
2023-06-07,409.41680908203125,9.0,5
2023-06-08,411.8932189941406,9.0,5
2023-06-09,412.6322326660156,9.0,5
2023-06-12,416.3755798339844,9.0,5
2023-06-13,419.12078857421875,9.0,5
2023-06-14,419.619873046875,9.0,5
2023-06-15,424.8221740722656,8.0,5
2023-06-16,423.3751525878906,8.0,5
2023-06-20,421.1786193847656,8.0,5
2023-06-21,419.02056884765625,8.0,5
2023-06-22,420.5331115722656,8.0,5
2023-06-23,417.3538818359375,7.0,5
2023-06-26,415.648681640625,7.0,5
2023-06-27,420.20556640625,8.0,5
2023-06-28,420.41748046875,8.0,5
2023-06-29,422.0745849609375,9.0,5
