Date,MACD_Breadth
2007-02-06,76.38190954773869
2007-02-07,76.88442211055276
2007-02-08,78.64321608040201
2007-02-09,78.14070351758794
2007-02-12,77.38693467336684
2007-02-13,76.38190954773869
2007-02-14,77.38693467336684
2007-02-15,78.14070351758794
2007-02-16,79.39698492462311
2007-02-20,80.90452261306532
2007-02-21,81.4070351758794
2007-02-22,82.1608040201005
2007-02-23,79.64824120603015
2007-02-26,77.63819095477386
2007-02-27,68.5929648241206
2007-02-28,62.8140703517588
2007-03-01,57.03517587939698
2007-03-02,48.743718592964825
2007-03-05,38.69346733668342
2007-03-06,34.17085427135678
2007-03-07,31.4070351758794
2007-03-08,31.155778894472363
2007-03-09,31.4070351758794
2007-03-12,34.67336683417086
2007-03-13,32.1608040201005
2007-03-14,29.64824120603015
2007-03-15,29.145728643216078
2007-03-16,28.894472361809044
2007-03-19,30.65326633165829
2007-03-20,34.42211055276382
2007-03-21,39.698492462311556
2007-03-22,45.22613065326633
2007-03-23,52.76381909547738
2007-03-26,55.27638190954774
2007-03-27,55.527638190954775
2007-03-28,54.52261306532663
2007-03-29,54.52261306532663
2007-03-30,55.527638190954775
2007-04-02,55.0251256281407
2007-04-03,59.04522613065326
2007-04-04,60.80402010050251
2007-04-05,63.5678391959799
2007-04-09,65.32663316582915
2007-04-10,67.33668341708542
2007-04-11,67.08542713567839
2007-04-12,67.58793969849246
2007-04-13,69.34673366834171
2007-04-16,73.86934673366834
2007-04-17,76.63316582914574
2007-04-18,80.40201005025126
2007-04-19,80.90452261306532
2007-04-20,81.65829145728644
2007-04-23,82.41206030150754
2007-04-24,82.91457286432161
2007-04-25,83.16582914572864
2007-04-26,82.66331658291458
2007-04-27,81.70426065162907
2007-04-30,79.19799498746866
2007-05-01,77.19298245614034
2007-05-02,77.19298245614034
2007-05-03,76.69172932330827
2007-05-04,76.75
2007-05-07,76.75
2007-05-08,77.25
2007-05-09,77.75
2007-05-10,75.75
2007-05-11,75.25
2007-05-14,73.5
2007-05-15,72.25
2007-05-16,73.0
2007-05-17,71.0
2007-05-18,71.75
2007-05-21,72.5
2007-05-22,74.75
2007-05-23,73.0
2007-05-24,69.32668329177058
2007-05-25,67.58104738154613
2007-05-29,68.3291770573566
2007-05-30,70.07481296758104
2007-05-31,70.82294264339151
2007-06-01,73.56608478802993
2007-06-04,75.06234413965088
2007-06-05,75.31172069825436
2007-06-06,72.06982543640898
2007-06-07,65.5860349127182
2007-06-08,63.681592039801
2007-06-11,60.049627791563275
2007-06-12,55.08684863523573
2007-06-13,54.3424317617866
2007-06-14,54.83870967741935
2007-06-15,57.32009925558312
2007-06-18,57.81637717121588
2007-06-19,57.81637717121588
2007-06-20,56.188118811881196
2007-06-21,55.940594059405946
2007-06-22,52.22772277227723
2007-06-25,50.0
2007-06-26,45.79207920792079
2007-06-27,46.78217821782179
2007-06-28,46.78217821782179
2007-06-29,46.78217821782179
2007-07-02,49.504950495049506
2007-07-03,51.48514851485149
2007-07-05,52.22772277227723
2007-07-06,54.70297029702971
2007-07-09,56.930693069306926
2007-07-10,56.43564356435643
2007-07-11,55.44554455445545
2007-07-12,58.415841584158414
2007-07-13,61.633663366336634
2007-07-16,63.86138613861386
2007-07-17,63.86138613861386
2007-07-18,64.85148514851485
2007-07-19,65.0990099009901
2007-07-20,62.96296296296296
2007-07-23,61.23456790123457
2007-07-24,57.03703703703704
2007-07-25,55.55555555555556
2007-07-26,48.888888888888886
2007-07-27,36.54320987654321
2007-07-30,33.251231527093594
2007-07-31,30.295566502463057
2007-08-01,27.586206896551722
2007-08-02,27.586206896551722
2007-08-03,25.36945812807882
2007-08-06,25.12315270935961
2007-08-07,26.354679802955665
2007-08-08,29.55665024630542
2007-08-09,28.32512315270936
2007-08-10,28.817733990147783
2007-08-13,28.57142857142857
2007-08-14,25.862068965517242
2007-08-15,22.906403940886698
2007-08-16,19.21182266009852
2007-08-17,19.950738916256157
2007-08-20,20.689655172413794
2007-08-21,21.67487684729064
2007-08-22,24.38423645320197
2007-08-23,25.615763546798032
2007-08-24,31.527093596059114
2007-08-27,32.51231527093596
2007-08-28,31.2807881773399
2007-08-29,32.51231527093596
2007-08-30,34.23645320197045
2007-08-31,40.2948402948403
2007-09-04,45.45454545454545
2007-09-05,47.91154791154791
2007-09-06,49.877149877149876
2007-09-07,47.665847665847664
2007-09-10,46.43734643734644
2007-09-11,45.20884520884521
2007-09-12,47.420147420147416
2007-09-13,50.859950859950864
2007-09-14,52.825552825552826
2007-09-17,53.07125307125307
2007-09-18,59.7051597051597
2007-09-19,69.28746928746928
