Date,M50_Breadth,M50_MA10
2009-11-11,96.3680387409201,96.48910411622276
2009-11-12,96.61016949152543,96.48910411622276
2009-11-13,96.3680387409201,96.46489104116223
2009-11-16,96.61016949152543,96.46489104116223
2009-11-17,96.61016949152543,96.48910411622276
2009-11-18,96.61016949152543,96.51331719128329
2009-11-19,96.3680387409201,96.48910411622276
2009-11-20,96.3680387409201,96.46489104116223
2009-11-23,95.88377723970945,96.41646489104116
2009-11-24,95.39951573849879,96.31961259079904
2009-11-25,94.91525423728814,96.17433414043583
2009-11-27,95.15738498789347,96.02905569007264
2009-11-30,95.15738498789347,95.90799031476999
2009-12-01,94.91525423728814,95.73849878934625
2009-12-02,94.67312348668281,95.54479418886199
2009-12-03,94.67312348668281,95.35108958837773
2009-12-04,94.91525423728814,95.20581113801452
2009-12-07,94.91525423728814,95.06053268765133
2009-12-08,94.91525423728814,94.9636803874092
2009-12-09,94.67312348668281,94.89104116222761
2009-12-10,94.67312348668281,94.86682808716708
2009-12-11,94.43099273607749,94.79418886198548
2009-12-14,94.43099273607749,94.72154963680387
2009-12-15,94.43099273607749,94.67312348668281
2009-12-16,94.18886198547214,94.62469733656175
2009-12-17,94.18886198547214,94.57627118644068
2009-12-18,93.7046004842615,94.45520581113801
2009-12-21,93.7046004842615,94.33414043583535
2009-12-22,93.7046004842615,94.21307506053269
2009-12-23,93.7046004842615,94.11622276029055
2009-12-24,93.7046004842615,94.01937046004842
2009-12-28,93.7046004842615,93.94673123486683
2009-12-29,93.22033898305084,93.82566585956417
2009-12-30,92.97820823244552,93.68038740920096
2009-12-31,92.97820823244552,93.55932203389831
2010-01-04,92.7360774818402,93.41404358353512
2010-01-05,92.49394673123487,93.29297820823244
2010-01-06,92.00968523002422,93.12348668280872
2010-01-07,92.25181598062953,92.97820823244552
2010-01-08,92.25181598062953,92.83292978208233
2010-01-11,92.25181598062953,92.68765133171914
2010-01-12,92.25181598062953,92.54237288135593
2010-01-13,92.25181598062953,92.4455205811138
2010-01-14,92.7360774818402,92.42130750605325
2010-01-15,92.97820823244552,92.42130750605327
2010-01-19,93.22033898305084,92.46973365617433
2010-01-20,93.22033898305084,92.54237288135593
2010-01-21,92.97820823244552,92.63922518159805
2010-01-22,92.97820823244552,92.71186440677965
2010-01-25,93.46246973365618,92.83292978208232
2010-01-26,93.22033898305084,92.92978208232445
2010-01-27,93.46246973365618,93.05084745762713
2010-01-28,93.22033898305084,93.14769975786925
2010-01-29,92.49394673123487,93.12348668280872
2010-02-01,92.49394673123487,93.07506053268764
2010-02-02,92.49394673123487,93.00242130750605
2010-02-03,92.49394673123487,92.92978208232445
2010-02-04,92.7360774818402,92.90556900726392
2010-02-05,92.7360774818402,92.88135593220338
2010-02-08,92.49394673123487,92.78450363196126
2010-02-09,92.25181598062953,92.68765133171914
2010-02-10,92.25181598062953,92.56658595641647
2010-02-11,92.25181598062953,92.46973365617434
2010-02-12,92.00968523002422,92.42130750605327
2010-02-16,92.00968523002422,92.37288135593221
2010-02-17,91.76755447941889,92.3002421307506
2010-02-18,92.00968523002422,92.25181598062954
2010-02-19,91.52542372881356,92.13075060532688
2010-02-22,91.52542372881356,92.00968523002422
2010-02-23,91.28329297820824,91.88861985472155
2010-02-24,91.28329297820824,91.79176755447942
2010-02-25,91.28329297820824,91.69491525423729
2010-02-26,91.28329297820824,91.59806295399517
2010-03-01,91.28329297820824,91.52542372881356
2010-03-02,91.28329297820824,91.45278450363196
2010-03-03,91.76755447941889,91.45278450363197
2010-03-04,91.76755447941889,91.42857142857143
2010-03-05,91.0411622276029,91.38014527845037
2010-03-08,90.79903147699758,91.30750605326877
2010-03-09,90.55690072639226,91.23486682808718
2010-03-10,90.55690072639226,91.16222760290557
2010-03-11,90.55690072639226,91.08958837772397
2010-03-12,89.83050847457628,90.94430992736078
2010-03-15,89.58837772397095,90.77481840193704
2010-03-16,89.34624697336562,90.58111380145279
2010-03-17,88.61985472154964,90.26634382566587
2010-03-18,87.89346246973365,89.87893462469734
2010-03-19,88.13559322033898,89.58837772397095
2010-03-22,88.37772397094432,89.34624697336562
2010-03-23,88.37772397094432,89.12832929782083
2010-03-24,88.61985472154964,88.93462469733657
2010-03-25,88.61985472154964,88.7409200968523
2010-03-26,88.61985472154964,88.61985472154964
2010-03-29,88.61985472154964,88.52300242130751
2010-03-30,88.37772397094432,88.42615012106538
2010-03-31,88.37772397094432,88.40193704600485
2010-04-01,88.37772397094432,88.4503631961259
2010-04-05,87.89346246973365,88.42615012106538
2010-04-06,88.13559322033898,88.40193704600485
2010-04-07,88.13559322033898,88.37772397094432
2010-04-08,88.37772397094432,88.35351089588377
2010-04-09,88.37772397094432,88.32929782082326
2010-04-12,88.13559322033898,88.28087167070217
2010-04-13,88.37772397094432,88.25665859564165
2010-04-14,89.10411622276028,88.32929782082324
2010-04-15,89.34624697336562,88.42615012106538
2010-04-16,89.10411622276028,88.49878934624698
2010-04-19,89.58837772397095,88.6682808716707
2010-04-20,90.07263922518159,88.86198547215497
2010-04-21,90.07263922518159,89.05569007263922
2010-04-22,89.83050847457628,89.20096852300242
2010-04-23,90.07263922518159,89.37046004842614
2010-04-26,90.55690072639226,89.61259079903148
2010-04-27,90.55690072639226,89.83050847457628
2010-04-28,91.0411622276029,90.02421307506054
2010-04-29,91.0411622276029,90.19370460048427
2010-04-30,91.0411622276029,90.38740920096852
2010-05-03,91.28329297820824,90.55690072639226
2010-05-04,91.52542372881356,90.70217917675544
2010-05-05,91.76755447941889,90.87167070217917
2010-05-06,91.52542372881356,91.04116222760291
2010-05-07,91.28329297820824,91.16222760290557
2010-05-10,91.52542372881356,91.2590799031477
2010-05-11,91.76755447941889,91.38014527845036
2010-05-12,91.52542372881356,91.42857142857143
2010-05-13,91.52542372881356,91.4769975786925
2010-05-14,91.28329297820824,91.50121065375302
2010-05-17,91.76755447941889,91.5496368038741
2010-05-18,91.52542372881356,91.54963680387411
2010-05-19,91.52542372881356,91.52542372881356
2010-05-20,91.28329297820824,91.50121065375302
2010-05-21,91.06280193236715,91.47916154916892
2010-05-24,90.57971014492753,91.38459019078032
2010-05-25,89.61352657004831,91.16918739984325
2010-05-26,89.13043478260869,90.92968850522277
2010-05-27,88.64734299516908,90.64188043185833
2010-05-28,88.16425120772948,90.32997625481045
2010-06-01,87.43961352657004,89.89718215952556
2010-06-02,87.19806763285024,89.46444654992924
2010-06-03,86.47342995169082,88.95924717221696
2010-06-04,86.23188405797102,88.45410628019324
2010-06-07,85.74879227053141,87.92270531400966
2010-06-08,84.54106280193237,87.31884057971016
2010-06-09,83.81642512077295,86.73913043478261
2010-06-10,83.09178743961353,86.13526570048309
2010-06-11,81.64251207729468,85.43478260869566
2010-06-14,81.40096618357488,84.7584541062802
2010-06-15,81.88405797101449,84.20289855072464
2010-06-16,81.40096618357488,83.6231884057971
2010-06-17,80.91787439613528,83.06763285024155
2010-06-18,80.67632850241546,82.512077294686
2010-06-21,79.95169082125604,81.93236714975845
2010-06-22,78.74396135265701,81.35265700483092
2010-06-23,77.29468599033817,80.70048309178745
2010-06-24,75.84541062801932,79.97584541062801
2010-06-25,75.1207729468599,79.32367149758454
2010-06-28,74.39613526570048,78.62318840579711
2010-06-29,72.94685990338165,77.72946859903382
2010-06-30,72.22222222222221,76.81159420289855
2010-07-01,70.53140096618358,75.77294685990339
2010-07-02,69.56521739130434,74.66183574879227
2010-07-06,67.8743961352657,73.45410628019324
2010-07-07,65.94202898550725,72.17391304347827
2010-07-08,64.97584541062803,70.94202898550725
2010-07-09,63.76811594202898,69.73429951690822
2010-07-12,62.31884057971014,68.45410628019324
2010-07-13,61.35265700483091,67.14975845410628
2010-07-14,60.6280193236715,65.91787439613526
2010-07-15,59.90338164251207,64.68599033816426
2010-07-16,59.42028985507246,63.57487922705313
2010-07-19,58.93719806763285,62.51207729468598
2010-07-20,58.93719806763285,61.61835748792271
2010-07-21,57.48792270531401,60.77294685990338
2010-07-22,57.2463768115942,60.0
2010-07-23,56.144578313253014,59.2376462371224
2010-07-26,55.90361445783133,58.59612362493451
2010-07-27,55.662650602409634,58.02712298469239
2010-07-28,54.93975903614457,57.4582969559397
2010-07-29,54.45783132530121,56.913741924218606
2010-07-30,54.21686746987952,56.39339968569932
2010-08-02,55.18072289156627,56.017752168092656
2010-08-03,55.42168674698795,55.66620103602817
2010-08-04,55.90361445783133,55.5077702112799
2010-08-05,55.662650602409634,55.34939759036145
2010-08-06,55.662650602409634,55.30120481927711
2010-08-09,55.662650602409634,55.27710843373494
2010-08-10,56.144578313253014,55.325301204819276
2010-08-11,56.3855421686747,55.46987951807229
2010-08-12,56.144578313253014,55.638554216867476
2010-08-13,55.90361445783133,55.807228915662655
2010-08-16,55.90361445783133,55.87951807228916
2010-08-17,56.144578313253014,55.95180722891566
2010-08-18,56.62650602409639,56.024096385542165
2010-08-19,55.90361445783133,56.04819277108434
2010-08-20,55.18072289156627,56.0
2010-08-23,54.93975903614457,55.9277108433735
2010-08-24,54.69879518072289,55.78313253012048
2010-08-25,54.21686746987952,55.56626506024097
2010-08-26,53.493975903614455,55.30120481927711
2010-08-27,53.493975903614455,55.06024096385543
2010-08-30,52.77108433734939,54.74698795180723
2010-08-31,52.40384615384615,54.37291473586654
2010-09-01,52.16346153846154,53.92661028730306
2010-09-02,51.20192307692307,53.45644114921223
2010-09-03,51.55875299760192,53.0942441598158
2010-09-07,50.83932853717026,52.68420110991836
2010-09-08,51.55875299760192,52.37019689160627
2010-09-09,51.798561151079134,52.128366259726235
2010-09-10,52.51798561151079,52.03076723051587
2010-09-13,52.757793764988016,51.957149016653226
2010-09-14,54.43645083932853,52.12368566685113
2010-09-15,54.91606714628298,52.374907766094815
2010-09-16,55.39568345323741,52.698129957572405
2010-09-17,55.875299760191844,53.16546762589928
2010-09-20,56.35491606714629,53.64508393285372
2010-09-21,56.594724220623505,54.22062350119904
2010-09-22,57.07434052757794,54.772182254196636
2010-09-23,57.07434052757794,55.29976019184652
2010-09-24,58.033573141486805,55.851318944844124
2010-09-27,59.2326139088729,56.49880095923262
2010-09-28,59.47242206235012,57.00239808153477
2010-09-29,59.47242206235012,57.458033573141485
2010-09-30,59.95203836930456,57.913669064748206
2010-10-01,60.91127098321343,58.41726618705036
2010-10-04,60.91127098321343,58.87290167865708
2010-10-05,61.63069544364509,59.37649880095923
2010-10-06,62.11031175059952,59.8800959232614
2010-10-07,62.589928057553955,60.431654676258994
2010-10-08,62.829736211031175,60.91127098321342
2010-10-11,63.549160671462836,61.34292565947243
2010-10-12,63.549160671462836,61.750599520383695
2010-10-13,63.78896882494005,62.18225419664269
2010-10-14,64.5083932853717,62.6378896882494
2010-10-15,64.5083932853717,62.997601918465236
2010-10-18,64.98800959232614,63.405275779376495
2010-10-19,65.07177033492823,63.749383268504815
2010-10-20,65.311004784689,64.06945257191376
2010-10-21,65.311004784689,64.34156024462726
2010-10-22,65.78947368421053,64.6375339919452
2010-10-25,66.74641148325358,64.95725907312428
2010-10-26,67.22488038277513,65.3248310442555
2010-10-27,67.94258373205741,65.74019253496724
2010-10-28,68.42105263157895,66.13145846958797
2010-10-29,69.377990430622,66.618418184113
2010-11-01,69.61722488038278,67.08133971291866
2010-11-02,70.09569377990431,67.58373205741627
2010-11-03,71.5311004784689,68.20574162679426
2010-11-04,72.24880382775119,68.89952153110048
2010-11-05,73.20574162679426,69.64114832535886
2010-11-08,74.16267942583733,70.38277511961722
2010-11-09,74.4019138755981,71.10047846889952
2010-11-10,74.88038277511961,71.79425837320574
2010-11-11,75.5980861244019,72.51196172248804
2010-11-12,76.79425837320574,73.25358851674642
2010-11-15,77.51196172248804,74.04306220095694
2010-11-16,77.75119617224881,74.8086124401914
2010-11-17,77.75119617224881,75.43062200956938
2010-11-18,77.75119617224881,75.98086124401914
2010-11-19,77.99043062200957,76.45933014354067
2010-11-22,77.99043062200957,76.84210526315789
2010-11-23,77.99043062200957,77.20095693779905
2010-11-24,79.23627684964201,77.63654634525128
2010-11-26,78.99761336515513,77.97649906932661
2010-11-29,79.47494033412887,78.24456726541892
2010-11-30,79.23627684964201,78.41699877813431
2010-12-01,79.23627684964201,78.56550684587364
2010-12-02,79.23627684964201,78.71401491361296
2010-12-03,79.47494033412887,78.88638932980096
2010-12-06,79.71360381861575,79.05870664946158
2010-12-07,79.47494033412887,79.20715762067351
2010-12-08,80.1909307875895,79.4272076372315
2010-12-09,80.66825775656325,79.57040572792363
2010-12-10,80.66825775656325,79.73747016706443
2010-12-13,80.90692124105013,79.88066825775657
2010-12-14,81.62291169451073,80.11933174224343
2010-12-15,82.10023866348448,80.40572792362768
2010-12-16,83.05489260143199,80.78758949880668
2010-12-17,83.05489260143199,81.14558472553699
2010-12-20,83.53221957040573,81.527446300716
2010-12-21,84.00954653937947,81.98090692124106
2010-12-22,84.96420047732697,82.4582338902148
2010-12-23,85.20286396181385,82.91169451073986
2010-12-27,85.20286396181385,83.36515513126491
2010-12-28,85.44152744630071,83.81861575178996
2010-12-29,85.91885441527445,84.24821002386635
2010-12-30,85.20286396181385,84.55847255369927
2010-12-31,85.68019093078759,84.82100238663485
2011-01-03,85.68019093078759,85.0835322195704
2011-01-04,85.68019093078759,85.2983293556086
2011-01-05,86.39618138424821,85.53699284009546
2011-01-06,87.11217183770883,85.75178997613365
2011-01-07,87.58949880668257,85.99045346062053
2011-01-10,87.82816229116945,86.25298329355608
2011-01-11,88.54415274463007,86.56324582338902
2011-01-12,88.78281622911695,86.84964200477327
2011-01-13,89.26014319809069,87.25536992840095
2011-01-14,89.97613365155132,87.68496420047732
2011-01-18,89.97613365155132,88.1145584725537
2011-01-19,90.21479713603819,88.56801909307876
2011-01-20,90.45346062052506,88.97374701670644
2011-01-21,90.69212410501193,89.33174224343676
2011-01-24,90.9307875894988,89.66587112171837
2011-01-25,90.69212410501193,89.95226730310262
2011-01-26,90.9307875894988,90.19093078758951
2011-01-27,91.64677804295943,90.47732696897374
2011-01-28,91.64677804295943,90.71599045346062
2011-01-31,91.64677804295943,90.88305489260144
2011-02-01,92.36276849642005,91.1217183770883
2011-02-02,92.84009546539379,91.38424821002386
