Date,MACD_NY_Breadth
2018-09-19,72.42105263157896
2018-09-20,73.05263157894737
2018-09-21,73.26315789473684
2018-09-24,72.42105263157896
2018-09-25,69.6842105263158
2018-09-26,65.26315789473685
2018-09-27,62.94736842105263
2018-09-28,61.26315789473684
2018-10-01,59.78947368421053
2018-10-02,58.73684210526315
2018-10-03,56.21052631578948
2018-10-04,54.315789473684205
2018-10-05,51.368421052631575
2018-10-08,50.73684210526316
2018-10-09,48.84210526315789
2018-10-10,40.421052631578945
2018-10-11,25.684210526315788
2018-10-12,21.47368421052632
2018-10-15,18.10526315789474
2018-10-16,19.36842105263158
2018-10-17,20.210526315789473
2018-10-18,19.57894736842105
2018-10-19,19.789473684210527
2018-10-22,18.526315789473685
2018-10-23,18.10526315789474
2018-10-24,16.0
2018-10-25,15.789473684210526
2018-10-26,15.368421052631579
2018-10-29,15.578947368421053
2018-10-30,16.42105263157895
2018-10-31,17.473684210526315
2018-11-01,19.157894736842103
2018-11-02,20.0
2018-11-05,22.736842105263158
2018-11-06,27.789473684210524
2018-11-07,35.78947368421053
2018-11-08,42.94736842105264
2018-11-09,47.78947368421053
2018-11-12,46.94736842105263
2018-11-13,46.10526315789474
2018-11-14,44.631578947368425
2018-11-15,45.473684210526315
2018-11-16,47.78947368421053
2018-11-19,46.526315789473685
2018-11-20,43.368421052631575
2018-11-21,40.8421052631579
2018-11-23,39.78947368421053
2018-11-26,40.21052631578947
2018-11-27,41.473684210526315
2018-11-28,46.31578947368421
2018-11-29,48.0
2018-11-30,53.68421052631579
2018-12-03,59.78947368421053
2018-12-04,56.42105263157895
2018-12-06,54.736842105263165
2018-12-07,46.73684210526316
2018-12-10,42.73684210526316
2018-12-11,38.315789473684205
2018-12-12,37.26315789473684
2018-12-13,35.78947368421053
2018-12-14,30.94736842105263
2018-12-17,24.63157894736842
2018-12-18,19.157894736842103
2018-12-19,15.789473684210526
2018-12-20,12.210526315789473
2018-12-21,8.842105263157894
2018-12-24,4.842105263157895
2018-12-26,2.9473684210526314
2018-12-27,3.1578947368421053
2018-12-28,3.7894736842105265
2018-12-31,4.631578947368421
2019-01-02,5.263157894736842
2019-01-03,4.842105263157895
2019-01-04,6.105263157894736
2019-01-07,8.421052631578947
2019-01-08,12.631578947368421
2019-01-09,17.263157894736842
2019-01-10,24.210526315789473
2019-01-11,33.68421052631579
2019-01-14,40.8421052631579
2019-01-15,46.42857142857143
2019-01-16,51.470588235294116
2019-01-17,59.2436974789916
2019-01-18,70.7983193277311
2019-01-22,72.05882352941177
2019-01-23,74.57983193277312
2019-01-24,77.94117647058823
2019-01-25,80.0420168067227
2019-01-28,81.5126050420168
2019-01-29,83.82352941176471
2019-01-30,84.45378151260505
2019-01-31,86.76470588235294
2019-02-01,88.4453781512605
2019-02-04,90.12605042016807
2019-02-05,90.75630252100841
2019-02-06,91.17647058823529
2019-02-07,91.38655462184873
2019-02-08,91.59663865546219
2019-02-11,90.54621848739495
2019-02-12,90.75630252100841
2019-02-13,90.96638655462185
2019-02-14,91.17647058823529
2019-02-15,92.43697478991596
2019-02-19,92.85714285714286
2019-02-20,93.4873949579832
2019-02-21,93.4873949579832
2019-02-22,92.85714285714286
2019-02-25,93.4873949579832
2019-02-26,93.27731092436974
2019-02-27,92.22689075630252
2019-02-28,91.80672268907563
2019-03-01,92.43697478991596
2019-03-04,91.80672268907563
2019-03-05,90.12605042016807
2019-03-06,88.23529411764706
2019-03-07,85.71428571428571
2019-03-08,83.40336134453781
2019-03-11,82.77310924369748
2019-03-12,81.72268907563026
2019-03-13,82.35294117647058
2019-03-14,81.30252100840336
2019-03-15,81.09243697478992
2019-03-18,81.5126050420168
2019-03-19,81.30252100840336
2019-03-20,78.78151260504201
2019-03-21,78.36134453781513
2019-03-22,76.47058823529412
2019-03-25,73.94957983193278
2019-03-26,72.47899159663865
2019-03-27,71.63865546218487
2019-03-28,71.00840336134453
2019-03-29,72.26890756302521
2019-04-01,76.89075630252101
2019-04-02,78.36134453781513
2019-04-03,80.0420168067227
2019-04-04,82.35294117647058
2019-04-05,85.08403361344537
2019-04-08,86.34453781512606
2019-04-09,85.92436974789915
2019-04-10,86.34453781512606
2019-04-11,86.34453781512606
2019-04-12,87.81512605042016
2019-04-15,87.39495798319328
2019-04-16,85.53459119496856
2019-04-17,80.75313807531381
2019-04-18,78.8702928870293
2019-04-22,76.98744769874477
2019-04-23,75.52301255230127
2019-04-24,75.73221757322176
2019-04-25,74.73903966597078
2019-04-26,75.36534446764091
2019-04-29,75.78288100208769
2019-04-30,76.40918580375782
2019-05-01,75.36534446764091
2019-05-02,73.2776617954071
2019-05-03,73.48643006263048
2019-05-06,73.69519832985387
2019-05-07,70.14613778705638
2019-05-08,65.76200417536533
2019-05-09,61.5866388308977
2019-05-10,61.5866388308977
2019-05-13,55.94989561586638
