Date,SPX,Oscillator,Threshold_Up,Threshold_Down
2014-12-31,,0.2956989247311828,0.6,0.2
2015-01-02,,0.1881720430107527,0.6,0.2
2015-01-05,,0.0967741935483871,0.6,0.2
2015-01-06,,0.0967741935483871,0.6,0.2
2015-01-07,,0.24731182795698925,0.6,0.2
2015-01-08,,0.543010752688172,0.6,0.2
2015-01-09,,0.45161290322580644,0.6,0.2
2015-01-12,,0.3333333333333333,0.6,0.2
2015-01-13,,0.3763440860215054,0.6,0.2
2015-01-14,,0.3279569892473118,0.6,0.2
2015-01-15,,0.27419354838709675,0.6,0.2
2015-01-16,,0.4838709677419355,0.6,0.2
2015-01-20,,0.4838709677419355,0.6,0.2
2015-01-21,,0.5376344086021505,0.6,0.2
2015-01-22,,0.7688172043010753,0.6,0.2
2015-01-23,,0.7311827956989247,0.6,0.2
2015-01-26,,0.7741935483870968,0.6,0.2
2015-01-27,,0.6505376344086021,0.6,0.2
2015-01-28,,0.34408602150537637,0.6,0.2
2015-01-29,,0.478494623655914,0.6,0.2
2015-01-30,,0.1827956989247312,0.6,0.2
2015-02-02,,0.2849462365591398,0.6,0.2
2015-02-03,,0.5967741935483871,0.6,0.2
2015-02-04,,0.543010752688172,0.6,0.2
2015-02-05,,0.7419354838709677,0.6,0.2
2015-02-06,,0.6344086021505376,0.6,0.2
2015-02-09,,0.5268817204301075,0.6,0.2
2015-02-10,,0.7258064516129032,0.6,0.2
2015-02-11,,0.6935483870967742,0.6,0.2
2015-02-12,,0.7741935483870968,0.6,0.2
2015-02-13,,0.7311827956989247,0.6,0.2
2015-02-17,,0.7419354838709677,0.6,0.2
2015-02-18,,0.7634408602150538,0.6,0.2
2015-02-19,,0.7150537634408602,0.6,0.2
2015-02-20,,0.8010752688172043,0.6,0.2
2015-02-23,,0.7741935483870968,0.6,0.2
2015-02-24,,0.7365591397849462,0.6,0.2
2015-02-25,,0.6612903225806451,0.6,0.2
2015-02-26,,0.5483870967741935,0.6,0.2
2015-02-27,,0.4032258064516129,0.6,0.2
2015-03-02,,0.6344086021505376,0.6,0.2
2015-03-03,,0.3817204301075269,0.6,0.2
2015-03-04,,0.26881720430107525,0.6,0.2
2015-03-05,,0.3333333333333333,0.6,0.2
2015-03-06,,0.15053763440860216,0.6,0.2
2015-03-09,,0.1935483870967742,0.6,0.2
2015-03-10,,0.05913978494623656,0.6,0.2
2015-03-11,,0.10752688172043011,0.6,0.2
2015-03-12,,0.41935483870967744,0.6,0.2
2015-03-13,,0.2849462365591398,0.6,0.2
2015-03-16,,0.6720430107526881,0.6,0.2
2015-03-17,,0.6182795698924731,0.6,0.2
2015-03-18,,0.8172043010752689,0.6,0.2
2015-03-19,,0.7849462365591398,0.6,0.2
2015-03-20,,0.8602150537634409,0.6,0.2
2015-03-23,,0.8225806451612904,0.6,0.2
2015-03-24,,0.6827956989247311,0.6,0.2
2015-03-25,,0.3010752688172043,0.6,0.2
2015-03-26,,0.1935483870967742,0.6,0.2
2015-03-27,,0.21505376344086022,0.6,0.2
2015-03-30,,0.5806451612903226,0.6,0.2
2015-03-31,,0.3387096774193548,0.6,0.2
2015-04-01,,0.3333333333333333,0.6,0.2
2015-04-02,,0.43010752688172044,0.6,0.2
2015-04-06,,0.6129032258064516,0.6,0.2
2015-04-07,,0.510752688172043,0.6,0.2
2015-04-08,,0.6612903225806451,0.6,0.2
2015-04-09,,0.6559139784946236,0.6,0.2
2015-04-10,,0.6989247311827957,0.6,0.2
2015-04-13,,0.5268817204301075,0.6,0.2
2015-04-14,,0.5,0.6,0.2
2015-04-15,,0.5483870967741935,0.6,0.2
2015-04-16,,0.5,0.6,0.2
2015-04-17,,0.24193548387096775,0.6,0.2
2015-04-20,,0.42473118279569894,0.6,0.2
2015-04-21,,0.3763440860215054,0.6,0.2
2015-04-22,,0.46236559139784944,0.6,0.2
2015-04-23,,0.5376344086021505,0.6,0.2
2015-04-24,,0.5,0.6,0.2
2015-04-27,,0.3709677419354839,0.6,0.2
2015-04-28,,0.44086021505376344,0.6,0.2
2015-04-29,,0.3763440860215054,0.6,0.2
2015-04-30,,0.25268817204301075,0.6,0.2
2015-05-01,,0.40860215053763443,0.6,0.2
2015-05-04,,0.478494623655914,0.6,0.2
2015-05-05,,0.27956989247311825,0.6,0.2
