date,breadth_count,breadth_percent
2021-06-22,156.0,31.01391650099404
2021-06-23,140.0,27.833001988071572
2021-06-24,127.0,25.24850894632207
2021-06-25,119.0,23.658051689860834
2021-06-28,110.0,21.868787276341948
2021-06-29,111.0,22.067594433399602
2021-06-30,116.0,23.061630218687874
2021-07-01,121.0,24.055666003976143
2021-07-02,140.0,27.833001988071572
2021-07-06,144.0,28.628230616302186
2021-07-07,152.0,30.218687872763418
2021-07-08,158.0,31.411530815109344
2021-07-09,161.0,32.007952286282304
2021-07-12,168.0,33.39960238568588
2021-07-13,170.0,33.79721669980119
2021-07-14,172.0,34.1948310139165
2021-07-15,172.0,34.1948310139165
2021-07-16,169.0,33.59840954274354
2021-07-19,161.0,32.007952286282304
2021-07-20,165.0,32.80318091451292
2021-07-21,172.0,34.1948310139165
2021-07-22,172.0,34.1948310139165
2021-07-23,165.0,32.80318091451292
2021-07-26,165.0,32.80318091451292
2021-07-27,168.0,33.39960238568588
2021-07-28,169.0,33.59840954274354
2021-07-29,178.0,35.387673956262425
2021-07-30,192.0,38.17097415506958
2021-08-02,208.0,41.35188866799205
2021-08-03,211.0,41.94831013916501
2021-08-04,217.0,43.141153081510936
2021-08-05,222.0,44.135188866799204
2021-08-06,222.0,44.135188866799204
2021-08-09,223.0,44.333996023856855
2021-08-10,219.0,43.538767395626245
2021-08-11,220.0,43.737574552683895
2021-08-12,222.0,44.135188866799204
2021-08-13,219.0,43.538767395626245
2021-08-16,219.0,43.538767395626245
2021-08-17,225.0,44.731610337972164
2021-08-18,236.0,46.91848906560636
2021-08-19,227.0,45.12922465208747
2021-08-20,227.0,45.12922465208747
2021-08-23,236.0,46.91848906560636
2021-08-24,240.0,47.713717693836976
2021-08-25,242.0,48.111332007952285
2021-08-26,236.0,46.91848906560636
2021-08-27,229.0,45.52683896620278
2021-08-30,216.0,42.94234592445328
2021-08-31,210.0,41.74950298210736
2021-09-01,224.0,44.53280318091451
2021-09-02,230.0,45.72564612326044
2021-09-03,233.0,46.3220675944334
2021-09-07,232.0,46.12326043737575
2021-09-08,224.0,44.53280318091451
2021-09-09,205.0,40.75546719681908
2021-09-10,201.0,39.960238568588466
2021-09-13,198.0,39.363817097415506
2021-09-14,181.0,35.984095427435385
2021-09-15,174.0,34.59244532803181
2021-09-16,168.0,33.39960238568588
2021-09-17,136.0,27.037773359840955
2021-09-20,103.0,20.47713717693837
2021-09-21,87.0,17.296222664015904
2021-09-22,79.0,15.705765407554672
2021-09-23,82.0,16.302186878727635
2021-09-24,81.0,16.10337972166998
2021-09-27,76.0,15.109343936381709
2021-09-28,75.0,14.910536779324055
2021-09-29,74.0,14.7117296222664
2021-09-30,65.0,12.922465208747516
2021-10-01,69.0,13.717693836978132
2021-10-04,73.0,14.512922465208748
2021-10-05,77.0,15.308151093439365
2021-10-06,75.0,14.910536779324055
2021-10-07,75.0,14.910536779324055
2021-10-08,76.0,15.109343936381709
2021-10-11,78.0,15.50695825049702
2021-10-12,79.0,15.705765407554672
2021-10-13,86.0,17.09741550695825
2021-10-14,95.0,18.886679920477135
2021-10-15,97.0,19.284294234592444
2021-10-18,106.0,21.07355864811133
2021-10-19,118.0,23.45924453280318
2021-10-20,124.0,24.652087475149106
2021-10-21,139.0,27.634194831013914
2021-10-22,144.0,28.628230616302186
2021-10-25,152.0,30.218687872763418
2021-10-26,161.0,32.007952286282304
2021-10-27,164.0,32.60437375745527
2021-10-28,166.0,33.00198807157058
2021-10-29,173.0,34.39363817097416
2021-11-01,189.0,37.57455268389662
2021-11-02,195.0,38.767395626242546
2021-11-03,202.0,40.15904572564612
2021-11-04,208.0,41.35188866799205
2021-11-05,213.0,42.34592445328032
2021-11-08,218.0,43.33996023856859
2021-11-09,220.0,43.737574552683895
2021-11-10,220.0,43.737574552683895
2021-11-11,220.0,43.737574552683895
2021-11-12,219.0,43.538767395626245
2021-11-15,227.0,45.12922465208747
2021-11-16,224.0,44.53280318091451
2021-11-17,217.0,43.141153081510936
2021-11-18,220.0,43.737574552683895
2021-11-19,215.0,42.74353876739563
2021-11-22,214.0,42.54473161033797
2021-11-23,206.0,40.95427435387674
2021-11-24,205.0,40.75546719681908
2021-11-26,193.0,38.36978131212724
2021-11-29,190.0,37.77335984095427
2021-11-30,165.0,32.80318091451292
2021-12-01,126.0,25.04970178926441
2021-12-02,117.0,23.26043737574553
2021-12-03,98.0,19.4831013916501
2021-12-06,92.0,18.290258449304176
2021-12-07,88.0,17.495029821073558
2021-12-08,96.0,19.08548707753479
2021-12-09,89.0,17.693836978131213
2021-12-10,99.0,19.681908548707753
2021-12-13,99.0,19.681908548707753
2021-12-14,112.0,22.266401590457257
2021-12-15,130.0,25.844930417495032
2021-12-16,146.0,29.025844930417495
2021-12-17,151.0,30.019880715705767
2021-12-20,154.0,30.61630218687873
2021-12-21,152.0,30.218687872763418
2021-12-22,142.0,28.230616302186878
2021-12-23,146.0,29.025844930417495
2021-12-27,145.0,28.82703777335984
2021-12-28,146.0,29.025844930417495
2021-12-29,161.0,32.007952286282304
2021-12-30,172.0,34.1948310139165
